headword,pos,level,domains,type,root,pronunciation,tr,en,exampleEn,exampleTr,synonyms,antonyms,collocations,related
get the ball rolling,idiom,B2,business|communication,idiom,ball,,işi başlatmak; bir süreci harekete geçirmek,to start an activity,Let's get the ball rolling on the project.,Hadi projeyi başlatalım.,kick off|start,stall,,
kick off,idiom,B1,business|communication,idiom,,,başlatmak; resmen başlamak,to begin an event or activity,We kick off the campaign Monday.,Kampanyayı pazartesi başlatıyoruz.,start|launch,wrap up,kick off a meeting,
wrap up,idiom,B1,business|communication,idiom,wrap,,tamamlamak; bitirmek,to finish or conclude something,Let's wrap up before lunch.,Öğleden önce bitirelim.,finish|conclude,kick off,wrap up the talks,
think outside the box,idiom,B2,business|communication,idiom,box,,kalıpların dışında düşünmek; yaratıcı olmak,to think creatively and differently,We need to think outside the box here.,Burada kalıpların dışında düşünmeliyiz.,be creative,,,
on the back burner,idiom,C1,business,idiom,,,askıya almak; ertelemek,given low priority for now,The plan is on the back burner.,Plan şimdilik askıya alındı.,postponed,top priority,,
hit the ground running,idiom,C1,business,idiom,,,hızlı başlamak; ilk günden tam performans,to start a task energetically,The new hire hit the ground running.,Yeni eleman daha ilk günden tam gaz başladı.,,,,
raise the bar,idiom,B2,business|communication,idiom,bar,,çıtayı yükseltmek; standardı artırmak,to set a higher standard,Their product raised the bar.,Ürünleri çıtayı yükseltti.,,lower the bar,,
move the needle,idiom,C1,business,idiom,needle,,fark yaratmak; gözle görülür etki etmek,to make a noticeable difference,This campaign should move the needle.,Bu kampanya fark yaratmalı.,,,,
bottom line,idiom,B2,business|economics,idiom,,,sonuç; en önemli nokta veya net kâr,the most important fact or final profit,The bottom line is we need funding.,Sonuç olarak finansmana ihtiyacımız var.,key point|net result,,the bottom line is,
cut to the chase,idiom,B2,communication,idiom,,,sadede gelmek; lafı uzatmamak,to get to the point quickly,Let me cut to the chase.,Sadede geleyim.,get to the point,beat around the bush,,beat around the bush
beat around the bush,idiom,B2,communication,idiom,bush,,lafı dolandırmak; asıl konudan kaçınmak,to avoid the main point,Stop beating around the bush.,Lafı dolandırmayı bırak.,,cut to the chase,,cut to the chase
on the same wavelength,idiom,B2,communication,idiom,,,aynı kafada olmak; benzer şekilde düşünmek,sharing the same way of thinking,We were on the same wavelength.,Aynı kafadaydık.,in sync,at odds,,
see eye to eye,idiom,B2,communication,idiom,eye,,hemfikir olmak; aynı görüşte olmak,to agree fully with someone,They rarely see eye to eye.,Nadiren hemfikir olurlar.,agree,disagree,,
agree to disagree,idiom,B2,communication,idiom,,,anlaşamadığımız konuda anlaşmak; tartışmayı sonlandırmak,to accept differing views and stop arguing,Let's just agree to disagree.,Hadi bu konuda anlaşamadığımızı kabul edelim.,,,,
play hardball,idiom,C1,business|communication,idiom,ball,,sert oynamak; tavizsiz davranmak,to act tough in negotiation,The buyer decided to play hardball.,Alıcı sert oynamaya karar verdi.,,,,
ballpark,noun,C1,business,slang,ball,,yaklaşık aralık; kabaca tahmin,an approximate range,Give me a ballpark for the cost.,Maliyet için kabaca bir rakam ver.,rough estimate,,in the ballpark,
nail it,idiom,B2,communication,slang,nail,,tam yapmak; mükemmel başarmak,to do something perfectly,She really nailed the presentation.,Sunumu gerçekten harika yaptı.,ace,botch,,
drop the ball,idiom,B2,business|communication,idiom,ball,,topu düşürmek; sorumluluğu aksatmak,to fail to handle a responsibility,Someone dropped the ball on shipping.,Biri kargo işini aksattı.,mess up,,,
on the fence,idiom,B2,communication,idiom,fence,,kararsız; iki seçenek arasında bocalayan,undecided between two choices,The board is still on the fence.,Kurul hâlâ kararsız.,undecided,,sit on the fence,
play it by ear,idiom,B2,communication,idiom,ear,,duruma göre davranmak; planlamadan ilerlemek,to decide as things happen,We'll play it by ear tomorrow.,Yarın duruma göre hareket ederiz.,improvise,,,
read between the lines,idiom,B2,communication,idiom,line,,satır aralarını okumak; gizli anlamı sezmek,to understand a hidden meaning,Read between the lines of that email.,O e-postanın satır aralarını oku.,,,,
take with a grain of salt,idiom,C1,communication,idiom,salt,,şüpheyle karşılamak; tam güvenmemek,to not fully believe something,Take that rumor with a grain of salt.,O söylentiye fazla güvenme.,be skeptical,,,
the elephant in the room,idiom,C1,communication,idiom,,,göz ardı edilen büyük sorun; konuşulmayan aşikâr mesele,an obvious problem nobody mentions,Let's address the elephant in the room.,Şu görmezden gelinen büyük sorunu konuşalım.,,,,
24/7,adj,B1,business|communication,slang,,,kesintisiz; günün her saati,all day every day,Their support runs 24/7.,Destekleri kesintisiz çalışır.,round the clock,,,
heads-up,noun,B2,communication,slang,head,,önceden uyarı; haber verme,an advance warning,Thanks for the heads-up.,Önceden haber verdiğin için sağ ol.,warning|alert,,give a heads-up,
deep dive,noun,C1,business|communication,slang,,,derinlemesine inceleme; ayrıntılı analiz,a thorough detailed analysis,Let's do a deep dive into the data.,Veriye derinlemesine bir bakalım.,,,deep dive into,
game changer,noun,B2,business|communication,slang,game,,oyunu değiştiren; her şeyi dönüştüren etken,something that changes everything,The new tool is a game changer.,Yeni araç her şeyi değiştiriyor.,,,,
win-win,adj,B2,business|communication,slang,win,,kazan-kazan; her iki taraf için iyi,beneficial to both sides,It was a win-win deal.,Kazan-kazan bir anlaşmaydı.,mutually beneficial,,win-win situation,
pain point,noun,C1,business|communication,slang,,,sorun noktası; müşterinin yaşadığı zorluk,a specific problem a customer faces,We solve a real pain point.,Gerçek bir sorun noktasını çözüyoruz.,,,customer pain point,
buy-in,noun,C1,business|communication,slang,buy,,destek; onay ve katılım,agreement and support for an idea,We need buy-in from the team.,Ekibin desteğine ihtiyacımız var.,support|approval,,get buy-in,
red tape,idiom,B2,business|communication,idiom,,,bürokrasi; gereksiz resmi engeller,excessive official rules,Red tape slowed the permit.,Bürokrasi izni geciktirdi.,bureaucracy,,cut red tape,
crunch the numbers,idiom,B2,business|economics,idiom,,,hesapları yapmak; rakamları analiz etmek,to do detailed calculations,Let me crunch the numbers first.,Önce hesapları bir yapayım.,calculate,,,
in the red,idiom,B2,business|economics,idiom,red,,zararda; eksi bakiyede,losing money or in debt,The branch is still in the red.,Şube hâlâ zararda.,,in the black,,in the black
in the black,idiom,B2,business|economics,idiom,black,,kârda; artı bakiyede,making a profit,After cuts the firm is in the black.,Kesintilerden sonra firma kâra geçti.,,in the red,,in the red
tighten your belt,idiom,B2,economics,idiom,belt,,kemer sıkmak; harcamayı kısmak,to spend less due to hardship,Families tightened their belts.,Aileler kemer sıktı.,economize,,,
make ends meet,idiom,B2,economics,idiom,,,geçinmek; geliri giderlere yetiştirmek,to earn just enough to live,They struggle to make ends meet.,Geçinmekte zorlanıyorlar.,get by,,,
a rough patch,idiom,B2,communication,idiom,,,zor dönem; geçici sıkıntılı süreç,a difficult period,The company hit a rough patch.,Şirket zor bir döneme girdi.,hard time,,go through a rough patch,
bounce back,idiom,B2,business|communication,idiom,,,toparlanmak; zorluktan sonra düzelmek,to recover after a setback,Sales bounced back quickly.,Satışlar hızla toparlandı.,recover|rebound,,bounce back from,
up in the air,idiom,B2,communication,idiom,air,,belirsiz; henüz karara bağlanmamış,uncertain and undecided,The launch date is still up in the air.,Lansman tarihi hâlâ belirsiz.,uncertain,settled,,
call it a day,idiom,B1,business|communication,idiom,,,paydos etmek; günü bitirmek,to stop working for the day,Let's call it a day.,Hadi bugünlük bu kadar.,wrap up,,,
on board,idiom,B2,business|communication,idiom,board,,destekleyen; sürece dahil olan,in agreement and participating,Is everyone on board with this?,Herkes bu konuda hemfikir mi?,supportive,,get on board,
take the lead,idiom,B2,business|communication,idiom,lead,,öne geçmek; liderliği üstlenmek,to take charge or move ahead,She took the lead on the project.,Projede liderliği o üstlendi.,lead|head,follow,,
keep tabs on,idiom,B2,communication,idiom,,,takip etmek; göz kulak olmak,to monitor something closely,We keep tabs on competitors.,Rakipleri yakından takip ediyoruz.,monitor|watch,,,
in a nutshell,idiom,B1,communication,idiom,nut,,kısacası; özetle,in brief and simple terms,In a nutshell the plan failed.,Kısacası plan başarısız oldu.,briefly|in short,,,
by the book,idiom,B2,business|communication,idiom,book,,kurallara uygun; kitabına göre,strictly following the rules,The audit was done by the book.,Denetim tamamen kurallara uygun yapıldı.,,,,
ahead of the curve,idiom,C1,business,idiom,curve,,bir adım önde; gelişmeyi önceden yakalayan,more advanced than others,Their tech is ahead of the curve.,Teknolojileri bir adım önde.,,behind the times,,
behind the times,idiom,B2,business|communication,idiom,,,çağın gerisinde; modası geçmiş,old-fashioned and outdated,Their methods are behind the times.,Yöntemleri çağın gerisinde.,outdated,ahead of the curve,,ahead of the curve
word of mouth,idiom,B2,business|communication,idiom,word,,kulaktan kulağa; ağızdan ağza yayılma,information spread by people talking,The cafe grew by word of mouth.,Kafe kulaktan kulağa büyüdü.,,,word-of-mouth marketing,
break the ice,idiom,B1,communication,idiom,ice,,buzları eritmek; ortamı yumuşatmak,to ease tension in a social setting,A joke helped break the ice.,Bir şaka buzları eritti.,,,,
keep someone posted,idiom,B2,communication,idiom,,,gelişmelerden haberdar etmek,to keep someone informed,Keep me posted on the deal.,Anlaşma konusunda beni haberdar et.,update,,,
out of the loop,idiom,B2,communication,idiom,loop,,bilgi akışının dışında; habersiz,not informed about something,I was out of the loop on that.,O konuda habersizdim.,uninformed,in the loop,,
ramp up,idiom,B2,business,idiom,,,artırmak; hızla yükseltmek,to increase something quickly,They ramped up production.,Üretimi hızla artırdılar.,boost|scale up,scale down,ramp up output,
scale down,idiom,B2,business,idiom,scale,,küçültmek; ölçeği azaltmak,to reduce in size or amount,They scaled down the project.,Projeyi küçülttüler.,reduce|cut back,ramp up,,
roll out,idiom,B2,business,idiom,roll,,piyasaya sürmek; aşamalı olarak sunmak,to launch a product or service,We roll out the update next week.,Güncellemeyi gelecek hafta sunuyoruz.,launch|release,,roll out a feature,
take off,idiom,B1,business,idiom,,,hızla başarmak; tutmak,to suddenly become successful,The app really took off.,Uygulama gerçekten tuttu.,boom|surge,flop,,
flop,noun,B2,business|communication,slang,,,fiyasko; başarısız ürün veya iş,a complete failure,The launch was a flop.,Lansman tam bir fiyaskoydu.,failure|dud,hit,box-office flop,
hit,noun,B1,business|communication,slang,,,başarı; çok tutulan ürün,a great success,Their second product was a hit.,İkinci ürünleri büyük bir başarıydı.,success|smash,flop,smash hit,
state of the art,idiom,B2,business|communication,idiom,art,,son teknoloji; en gelişmiş,using the most advanced technology,They built a state-of-the-art lab.,Son teknolojiyle bir laboratuvar kurdular.,cutting-edge,outdated,,
cutting-edge,adj,B2,business|communication,word,edge,,en ileri; öncü ve yenilikçi,at the forefront of development,The firm uses cutting-edge tools.,Firma en ileri araçları kullanır.,advanced|leading,outdated,cutting-edge technology,
