headword,pos,level,domains,type,root,pronunciation,tr,en,exampleEn,exampleTr,synonyms,antonyms,collocations,related
convey,verb,B2,communication,word,,,iletmek; bir anlamı aktarmak,to communicate an idea or feeling,Her tone conveyed real concern.,Ses tonu gerçek bir kaygı iletti.,communicate|express,,convey a message,
clarify,verb,B1,communication,word,clear,,açıklığa kavuşturmak; netleştirmek,to make something clearer,Let me clarify the last point.,Son noktayı açıklığa kavuşturayım.,explain|clear up,confuse,clarify a point,
elaborate,verb,B2,communication,word,,,ayrıntılandırmak; daha fazla açıklamak,to add more detail,Could you elaborate on that idea?,Bu fikri biraz açar mısın?,expand|detail,summarize,elaborate further,
summarize,verb,B1,communication,word,,,özetlemek; kısaca toparlamak,to give the main points briefly,She summarized the report in a minute.,Raporu bir dakikada özetledi.,recap|condense,elaborate,summarize the meeting,
paraphrase,verb,C1,communication,word,phrase,,başka sözcüklerle anlatmak; yeniden ifade etmek,to restate in different words,He paraphrased the policy simply.,Politikayı sade biçimde yeniden ifade etti.,reword,quote,paraphrase a quote,
emphasize,verb,B2,communication,word,,,vurgulamak; önemini öne çıkarmak,to give special importance to,She emphasized the deadline.,Son teslim tarihini vurguladı.,stress|highlight,downplay,emphasize a point,
highlight,verb,B1,communication,word,,,öne çıkarmak; dikkat çekmek,to draw attention to something,The report highlights three risks.,Rapor üç riski öne çıkarıyor.,stress|underline,,highlight an issue,
downplay,verb,C1,communication,word,,,önemsizleştirmek; küçük göstermek,to make something seem less important,He downplayed the mistake.,Hatayı önemsizleştirdi.,minimize|play down,emphasize,downplay concerns,
acknowledge,verb,B2,communication,word,,,kabul etmek; varlığını teyit etmek,to admit or confirm something,She acknowledged the error openly.,Hatayı açıkça kabul etti.,admit|recognize,deny,acknowledge receipt,
address,verb,B2,communication,word,,,ele almak; bir konuya değinmek,to deal with or speak about an issue,The CEO addressed the rumors.,CEO söylentileri ele aldı.,tackle|handle,ignore,address concerns,
notify,verb,B1,communication,word,note,,bildirmek; resmi olarak haber vermek,to formally inform someone,Please notify staff of the change.,Lütfen değişikliği personele bildirin.,inform|alert,,notify in advance,
inform,verb,A2,communication,word,,,bilgilendirmek; haber vermek,to give someone information,Keep me informed of progress.,Beni gelişmelerden haberdar et.,tell|notify,mislead,inform a decision,
mislead,verb,C1,communication,word,lead,,yanıltmak; yanlış izlenim vermek,to give a wrong impression,The ad misled customers.,Reklam müşterileri yanılttı.,deceive|misinform,inform,misleading claim,inform
persuasive,adj,B2,communication,word,persuade,,ikna edici; inandırıcı,able to convince others,She gave a persuasive argument.,İkna edici bir argüman sundu.,convincing|compelling,unconvincing,persuasive speaker,
compelling,adj,C1,communication,word,,,çekici ve ikna edici; dikkat çeken,strong enough to convince or grip,The data made a compelling case.,Veriler çok ikna edici bir gerekçe sundu.,convincing|gripping,weak,compelling story,
coherent,adj,C1,communication,word,,,tutarlı; mantıklı ve anlaşılır,clear and logically connected,He gave a coherent explanation.,Tutarlı bir açıklama yaptı.,logical|clear,incoherent,coherent argument,incoherent
incoherent,adj,C1,communication,word,,,tutarsız; anlaşılması güç,unclear and not logically connected,The note was rushed and incoherent.,Not aceleyle yazılmış ve tutarsızdı.,muddled|confused,coherent,incoherent reply,coherent
ambiguous,adj,C1,communication,word,,,muğlak; birden çok anlama gelen,open to more than one meaning,The wording was deliberately ambiguous.,İfade kasıtlı olarak muğlaktı.,vague|unclear,clear|explicit,ambiguous answer,
explicit,adj,C1,communication,word,,,açık; net ve dolaysız ifade edilen,stated clearly and directly,She gave explicit instructions.,Açık ve net talimatlar verdi.,clear|direct,vague|implicit,explicit terms,implicit
implicit,adj,C1,communication,word,,,örtük; söylenmeden anlaşılan,suggested without being stated,There was an implicit agreement.,Örtük bir anlaşma vardı.,implied|tacit,explicit,implicit assumption,explicit
tactful,adj,C1,communication,word,tact,,düşünceli; incitmeden konuşan,careful not to offend others,A tactful reply calmed the client.,Düşünceli bir cevap müşteriyi yatıştırdı.,diplomatic|sensitive,tactless,tactful approach,tactless
tactless,adj,C1,communication,word,tact,,patavatsız; kırıcı biçimde açık,likely to offend through bluntness,His tactless joke upset everyone.,Patavatsız şakası herkesi üzdü.,blunt|insensitive,tactful,tactless remark,tactful
diplomatic,adj,B2,communication,word,,,diplomatik; ustaca ve nazik,skilled at dealing with people sensitively,She gave a diplomatic answer.,Diplomatik bir cevap verdi.,tactful|polite,blunt,diplomatic tone,
blunt,adj,B2,communication,word,,,dobra; açık ve sert konuşan,very direct and possibly rude,He was blunt about the problems.,Sorunlar konusunda çok dobraydı.,frank|direct,tactful,blunt feedback,
candid,adj,C1,communication,word,,,samimi; dürüst ve açık sözlü,honest and open in speech,She was candid about her doubts.,Şüpheleri konusunda açık sözlüydü.,frank|honest,evasive,candid conversation,
evasive,adj,C1,communication,word,,,kaçamak; net cevap vermeyen,avoiding a direct answer,His evasive reply raised suspicion.,Kaçamak cevabı şüphe uyandırdı.,vague|elusive,candid,evasive answer,candid
fluent,adj,B1,communication,word,,,akıcı; rahat ve pürüzsüz konuşan,able to speak smoothly and easily,She is fluent in three languages.,Üç dilde akıcı konuşuyor.,articulate|smooth,halting,fluent speaker,
eloquent,adj,C1,communication,word,,,belagatli; etkili ve güzel konuşan,fluent and persuasive in speech,His eloquent speech moved the room.,Belagatli konuşması salonu etkiledi.,articulate|expressive,inarticulate,eloquent address,
verbose,adj,C2,communication,word,verb,,laf kalabalığı yapan; gereğinden uzun,using more words than needed,The memo was dense and verbose.,Yazı yoğun ve gereksiz uzundu.,wordy|long-winded,concise,verbose writing,concise
brief,verb,B2,communication,word,,,bilgilendirmek; kısa özet vermek,to give someone key information,She briefed the team before the call.,Görüşmeden önce ekibi bilgilendirdi.,inform|update,,brief the board,
debrief,verb,C1,communication,word,brief,,değerlendirme yapmak; sonrasını gözden geçirmek,to review an event afterward,They debriefed after the launch.,Lansmandan sonra değerlendirme yaptılar.,review,,debrief session,
brainstorm,verb,B2,communication|business,word,,,beyin fırtınası yapmak; serbestçe fikir üretmek,to generate ideas freely as a group,The team brainstormed new names.,Ekip yeni isimler için beyin fırtınası yaptı.,,,brainstorm ideas,
moderate,verb,C1,communication,word,,,yönetmek; tartışmayı dengede tutmak,to lead and control a discussion,She moderated the panel skillfully.,Paneli ustaca yönetti.,chair|facilitate,,moderate a debate,
facilitate,verb,C1,communication|business,word,,,kolaylaştırmak; süreci yürütmek,to make a process easier,A neutral host facilitated the talks.,Tarafsız bir kişi görüşmeleri kolaylaştırdı.,enable|ease,hinder,facilitate discussion,
mediate,verb,C1,communication,word,,,arabuluculuk yapmak; taraflar arasında uzlaştırmak,to help opposing sides agree,A lawyer mediated the dispute.,Bir avukat anlaşmazlıkta arabuluculuk yaptı.,arbitrate|reconcile,,mediate a conflict,
reconcile,verb,C1,communication,word,,,uzlaştırmak; aradaki anlaşmazlığı gidermek,to restore friendly relations,They reconciled after the argument.,Tartışmadan sonra barıştılar.,settle|harmonize,,reconcile differences,
endorse,verb,C1,communication|business,word,,,desteklemek; açıkça onaylamak,to publicly support or approve,The board endorsed the plan.,Kurul planı destekledi.,back|approve,oppose,endorse a candidate,
advocate,verb,C1,communication,word,,,savunmak; bir fikri desteklemek,to publicly support a cause,She advocates for fair pay.,Adil ücreti savunuyor.,champion|support,oppose,advocate for change,
object,verb,B2,communication,word,,,itiraz etmek; karşı çıkmak,to express opposition,He objected to the new rule.,Yeni kurala itiraz etti.,oppose|protest,agree,object strongly,
concede,verb,C1,communication,word,,,kabul etmek; isteksizce teslim olmak,to admit something is true,She conceded the point gracefully.,Noktayı zarafetle kabul etti.,admit|grant,deny,concede defeat,
assert,verb,B2,communication,word,,,öne sürmek; kararlı biçimde ifade etmek,to state firmly,He asserted his right to speak.,Konuşma hakkını kararlılıkla savundu.,declare|insist,,assert a claim,
imply,verb,B2,communication,word,,,ima etmek; dolaylı anlatmak,to suggest without stating directly,Her silence implied disapproval.,Sessizliği onaylamadığını ima etti.,suggest|hint,state,imply a meaning,
infer,verb,C1,communication,word,,,çıkarım yapmak; ipuçlarından sonuç çıkarmak,to work out from evidence,We inferred the cause from the data.,Nedeni verilerden çıkardık.,deduce|conclude,,infer meaning,
gist,noun,C1,communication,word,,,özü; ana fikir,the main point of something,I got the gist of the report.,Raporun özünü kavradım.,essence|substance,,the gist of it,
nuance,noun,C1,communication,word,,,nüans; ince anlam farkı,a subtle difference in meaning,The translation lost a nuance.,Çeviride bir nüans kayboldu.,subtlety|shade,,subtle nuance,
tone,noun,B1,communication,word,,,ton; konuşmanın duygusal havası,the quality that conveys feeling,Watch your tone in emails.,E-postalarda tonuna dikkat et.,manner|mood,,friendly tone,
jargon,noun,B2,communication,word,,,jargon; mesleki özel dil,specialized words used by a group,Avoid jargon with new clients.,Yeni müşterilerle jargondan kaçının.,terminology|lingo,plain language,technical jargon,
small talk,noun,B2,communication,phrase,,,havadan sudan sohbet; samimi kısa konuşma,casual conversation about light topics,He broke the ice with small talk.,Havadan sudan sohbetle buzları kırdı.,chitchat,,make small talk,
icebreaker,noun,B2,communication,word,ice,,buz kırıcı; ortamı yumuşatan giriş,something that eases initial tension,A quick game served as an icebreaker.,Kısa bir oyun buz kırıcı işlevi gördü.,,,use an icebreaker,
rapport building,noun,C1,communication,phrase,,,yakınlık kurma; güven ilişkisi geliştirme,the act of creating mutual trust,Rapport building wins loyal clients.,Yakınlık kurmak sadık müşteriler kazandırır.,,,,
body language,noun,B1,communication,phrase,,,beden dili; sözsüz iletişim,communication through gestures and posture,Her body language showed confidence.,Beden dili özgüven gösteriyordu.,nonverbal cues,,read body language,
gesture,noun,B1,communication,word,,,jest; el ve kol hareketi,a movement that expresses meaning,He made a welcoming gesture.,Karşılayıcı bir jest yaptı.,signal|motion,,friendly gesture,
posture,noun,B2,communication,word,,,duruş; bedenin pozisyonu,the way one holds the body,Good posture projects authority.,İyi bir duruş otorite yansıtır.,stance|bearing,,upright posture,
intonation,noun,C1,communication,word,,,tonlama; sesin inişli çıkışlı vurgusu,the rise and fall of the voice,Her intonation made it sound polite.,Tonlaması bunu kibar gösterdi.,inflection,,rising intonation,
articulate,verb,C1,communication,word,art,,açıkça ifade etmek; net dile getirmek,to express ideas clearly,He articulated the goal in one line.,Hedefi tek satırda net ifade etti.,express|convey,mumble,clearly articulate,
listen actively,verb,B2,communication,phrase,,,etkin dinlemek; dikkatle ve geri bildirimle dinlemek,to listen with full attention and feedback,Great managers listen actively.,İyi yöneticiler etkin biçimde dinler.,,,,
interrupt,verb,B1,communication,word,,,sözünü kesmek; konuşmayı bölmek,to break in while someone speaks,Please don't interrupt the speaker.,Lütfen konuşmacının sözünü kesmeyin.,cut off|break in,,interrupt rudely,
paraphrasing,noun,C1,communication,word,phrase,,başka sözcüklerle anlatma; yeniden ifade etme,restating something in other words,Paraphrasing shows you understood.,Yeniden ifade etmek anladığını gösterir.,rewording,,,
misunderstanding,noun,B1,communication,word,,,yanlış anlama; iletişim hatası,a failure to understand correctly,A small misunderstanding caused delay.,Küçük bir yanlış anlama gecikmeye yol açtı.,confusion|mix-up,understanding,clear up a misunderstanding,
miscommunication,noun,B2,communication,word,,,iletişim kopukluğu; mesajın yanlış iletilmesi,failure to communicate clearly,Miscommunication wasted a whole day.,İletişim kopukluğu bütün bir günü boşa harcattı.,,,avoid miscommunication,
feedback loop,noun,C1,communication|business,phrase,,,geri bildirim döngüsü; sürekli yanıt akışı,a cycle of giving and using feedback,A fast feedback loop speeds learning.,Hızlı bir geri bildirim döngüsü öğrenmeyi hızlandırır.,,,,
constructive,adj,B2,communication,word,construct,,yapıcı; geliştirmeye yönelik,helpful and aimed at improvement,She gave constructive criticism.,Yapıcı eleştiri yaptı.,helpful|positive,destructive,constructive feedback,
criticism,noun,B1,communication,word,,,eleştiri; bir şeyin kusurlarını belirtme,comments pointing out faults,He took the criticism well.,Eleştiriyi iyi karşıladı.,feedback|disapproval,praise,harsh criticism,
praise,verb,A2,communication,word,,,övmek; takdir etmek,to express strong approval,The manager praised the team.,Yönetici ekibi övdü.,commend|applaud,criticize,praise publicly,
compliment,noun,B1,communication,word,,,iltifat; takdir sözü,a polite expression of admiration,She gave him a sincere compliment.,Ona içten bir iltifatta bulundu.,praise|tribute,insult,genuine compliment,
diplomacy,noun,C1,communication,word,,,diplomasi; ustaca ve nazik iletişim,skill in handling people without offense,The deal needed real diplomacy.,Anlaşma gerçek bir diplomasi gerektirdi.,tact|finesse,,careful diplomacy,
assertiveness,noun,C1,communication,word,assert,,girişkenlik; kendini net ifade etme becerisi,the quality of being confident and direct,Assertiveness helps in negotiations.,Girişkenlik müzakerelerde işe yarar.,confidence,passivity,show assertiveness,
liaison,noun,C1,communication|business,word,,,irtibat; taraflar arası bağlantı kişisi,communication between groups,She acts as a liaison with vendors.,Tedarikçilerle irtibatı o sağlıyor.,contact|link,,liaison officer,
correspondence,noun,B2,communication,word,,,yazışma; mektup ve e-posta iletişimi,written communication,All correspondence is kept on file.,Tüm yazışmalar dosyada saklanır.,letters|mail,,business correspondence,
memo,noun,B1,communication|business,word,,,not; kısa resmi yazı,a short official note,He sent a memo to all staff.,Tüm personele bir not gönderdi.,note|message,,internal memo,
agenda,noun,B1,communication|business,word,,,gündem; toplantı konuları listesi,a list of items to discuss,The first item on the agenda is budget.,Gündemin ilk maddesi bütçe.,schedule|plan,,meeting agenda,
minutes,noun,B2,communication|business,word,,,tutanak; toplantı kayıtları,a written record of a meeting,She took the minutes of the meeting.,Toplantı tutanağını o tuttu.,record|notes,,take minutes,
follow-up,noun,B2,communication|business,word,follow,,takip; sonraki temas veya işlem,a later action to check progress,Send a follow-up after the call.,Görüşmeden sonra bir takip mesajı gönder.,check-in,,follow-up email,
clarification,noun,B2,communication,word,clear,,açıklama; netleştirme talebi veya işlemi,an explanation that removes confusion,She asked for clarification.,Açıklama talep etti.,explanation,,seek clarification,
spokesperson,noun,B2,communication,word,speak,,sözcü; adına konuşan kişi,a person who speaks for a group,The spokesperson denied the claim.,Sözcü iddiayı reddetti.,representative,,company spokesperson,
testimonial,noun,C1,communication|business,word,,,referans; memnuniyet beyanı,a positive statement from a customer,The site shows client testimonials.,Site müşteri referanslarını gösterir.,endorsement|review,,glowing testimonial,
narrative,noun,C1,communication,word,,,anlatı; olayların hikâye biçiminde sunumu,a connected account of events,The brand built a strong narrative.,Marka güçlü bir anlatı oluşturdu.,story|account,,shape the narrative,
