headword,pos,level,domains,type,root,pronunciation,tr,en,exampleEn,exampleTr,synonyms,antonyms,collocations,related
asset,noun,B1,business|economics,word,,,varlık; değeri olan mülk veya kaynak,something valuable that a company owns,The factory is the firm's biggest asset.,Fabrika şirketin en büyük varlığıdır.,resource|holding,liability,fixed asset|digital asset,
liability,noun,B2,business|economics,word,,,yükümlülük; ödenmesi gereken borç,a debt or financial obligation,The loan is recorded as a liability.,Kredi bir yükümlülük olarak kaydedilir.,debt|obligation,asset,current liability,
budget,noun,A2,business|economics,word,,,bütçe; gelir ve gider planı,a plan for income and spending,We went over budget on the project.,Projede bütçeyi aştık.,allowance|plan,,annual budget|tight budget,
forecast,noun,B2,business|economics,word,cast,,tahmin; gelecek için yapılan öngörü,a prediction of future trends,Their sales forecast was too optimistic.,Satış tahminleri fazla iyimserdi.,prediction|projection,,sales forecast|weather forecast,
cash flow,noun,B2,business|economics,phrase,,,nakit akışı; paranın işletmeye giriş çıkışı,the movement of money in and out of a business,Poor cash flow can sink a healthy company.,Zayıf nakit akışı sağlam bir şirketi bile batırabilir.,liquidity,,positive cash flow,
overhead,noun,C1,business,word,,,genel gider; üretim dışı sabit maliyetler,ongoing business costs not tied to production,High rent increased their overhead.,Yüksek kira genel giderlerini artırdı.,fixed costs,,reduce overhead,
procurement,noun,C1,business,word,,,tedarik; mal ve hizmet satın alma süreci,the process of obtaining goods and services,The procurement team negotiated better terms.,Tedarik ekibi daha iyi koşullar için pazarlık etti.,sourcing|purchasing,,procurement process,
logistics,noun,B2,business,word,,,lojistik; mal ve kaynakların yönetimi,the management of moving goods and resources,Smooth logistics keep the shelves stocked.,Düzgün lojistik rafların dolu kalmasını sağlar.,operations|distribution,,supply logistics,
inventory,noun,B2,business,word,,,envanter; elde tutulan mal stoğu,the stock of goods a business holds,They counted the inventory at year end.,Yıl sonunda envanteri saydılar.,stock|goods,,manage inventory,
warehouse,noun,B1,business,word,,,depo; malların saklandığı büyük bina,a large building for storing goods,The warehouse ships orders overnight.,Depo siparişleri bir gecede gönderir.,depot|store,,central warehouse,
retail,noun,B1,business|economics,word,,,perakende; ürünün son tüketiciye satışı,the sale of goods directly to consumers,Retail sales rose before the holidays.,Perakende satışları tatil öncesi arttı.,,wholesale,retail store|online retail,
wholesale,noun,B2,business|economics,word,,,toptan; büyük miktarda satış,the sale of goods in large quantities,They buy at wholesale prices.,Toptan fiyatlarına satın alıyorlar.,bulk,retail,wholesale market,
supplier,noun,B1,business,word,supply,,tedarikçi; mal veya hizmet sağlayan firma,a company that provides goods or services,A reliable supplier reduces delays.,Güvenilir bir tedarikçi gecikmeleri azaltır.,vendor|provider,buyer,key supplier,
vendor,noun,B1,business,word,,,satıcı; ürün satan kişi veya firma,a person or company offering goods for sale,The vendor delivered the parts on time.,Satıcı parçaları zamanında teslim etti.,seller|supplier,buyer,third-party vendor,
client,noun,A2,business|communication,word,,,müşteri; hizmet alan kişi veya kurum,a person or organization using a service,The agency lost a major client.,Ajans büyük bir müşteri kaybetti.,customer|account,,loyal client|prospective client,
contract,noun,B1,business,word,,,sözleşme; tarafları bağlayan resmi anlaşma,a formal binding agreement,They signed a three-year contract.,Üç yıllık bir sözleşme imzaladılar.,agreement|deal,,sign a contract|breach of contract,
clause,noun,C1,business|communication,word,,,madde; sözleşmedeki belirli hüküm,a specific section of a legal document,A clause limited their liability.,Bir madde sorumluluklarını sınırladı.,provision|term,,confidentiality clause,
warranty,noun,B2,business,word,,,garanti; ürün için verilen güvence,a written guarantee for a product,The laptop comes with a two-year warranty.,Dizüstü bilgisayar iki yıl garantiyle gelir.,guarantee,,extended warranty,
refund,noun,A2,business,word,fund,,iade; geri ödenen para,money paid back to a customer,She asked for a full refund.,Tam iade talep etti.,reimbursement,,issue a refund,
discount,noun,A2,business|economics,word,count,,indirim; fiyattan yapılan azaltma,a reduction in the usual price,They offered a ten percent discount.,Yüzde on indirim sundular.,reduction|markdown,markup,bulk discount,
markup,noun,C1,business|economics,word,,,kâr payı; maliyet üzerine eklenen tutar,the amount added to cost to set a price,The markup on luxury goods is high.,Lüks mallarda kâr payı yüksektir.,margin,discount,price markup,
turnover,noun,B2,business|economics,word,turn,,ciro; belirli sürede yapılan toplam satış,total sales over a period,Annual turnover hit a record high.,Yıllık ciro rekor seviyeye ulaştı.,revenue|sales,,staff turnover,
