headword,pos,level,domains,type,root,pronunciation,tr,en,exampleEn,exampleTr,synonyms,antonyms,collocations,related
demand,noun,A2,economics,word,,,talep; bir mala duyulan istek,the desire of buyers for a product,Demand for housing keeps rising.,Konuta olan talep artmaya devam ediyor.,need|appetite,supply,strong demand,
supply,noun,A2,economics,word,,,arz; piyasaya sunulan mal miktarı,the amount of goods available,Oil supply fell after the storm.,Fırtınadan sonra petrol arzı düştü.,stock|provision,demand,limited supply,
scarcity,noun,C1,economics,word,scarce,,kıtlık; kaynakların yetersizliği,a shortage of something needed,Water scarcity threatens the region.,Su kıtlığı bölgeyi tehdit ediyor.,shortage|lack,abundance,resource scarcity,
abundance,noun,C1,economics,word,,,bolluk; bir şeyin çokça bulunması,a very large quantity,An abundance of grain lowered prices.,Tahıl bolluğu fiyatları düşürdü.,plenty|surplus,scarcity,natural abundance,
surplus,noun,B2,economics,word,,,fazla; ihtiyaçtan artan miktar,an amount left over after needs are met,The budget ran a surplus this year.,Bütçe bu yıl fazla verdi.,excess|extra,deficit,trade surplus,
deficit,noun,B2,economics,word,,,açık; gelirin gideri karşılamaması,the amount by which spending exceeds income,The country runs a trade deficit.,Ülke ticaret açığı veriyor.,shortfall|gap,surplus,budget deficit,
monetary,adj,C1,economics,word,money,,parasal; para arzı ve faizle ilgili,relating to money and currency,The bank tightened monetary policy.,Banka parasal politikayı sıkılaştırdı.,financial|fiscal,,monetary policy,
fiscal policy,noun,C1,economics,phrase,,,maliye politikası; vergi ve harcama kararları,government decisions on tax and spending,Fiscal policy aims to boost growth.,Maliye politikası büyümeyi artırmayı amaçlar.,,,expansionary fiscal policy,
subsidy,noun,C1,economics,word,,,sübvansiyon; devletin verdiği mali destek,money given by government to support an industry,Farmers receive a state subsidy.,Çiftçiler devlet desteği alır.,grant|aid,tax,fuel subsidy,
levy,noun,C1,economics,word,,,vergi; konulan zorunlu ödeme,a tax or charge imposed by authority,A new levy was added to imports.,İthalata yeni bir vergi eklendi.,tax|duty,,impose a levy,
revenue stream,noun,B2,economics|business,phrase,,,gelir kaynağı; düzenli para getiren yol,a source of regular income,Ads are their main revenue stream.,Reklamlar ana gelir kaynaklarıdır.,income source,,diversify revenue streams,
purchasing power,noun,B2,economics,phrase,,,satın alma gücü; paranın alım kapasitesi,the value of money in terms of goods,Inflation eroded purchasing power.,Enflasyon satın alma gücünü aşındırdı.,,,declining purchasing power,
stagnation,noun,C1,economics,word,,,durgunluk; büyümenin durması,a long period without growth,The economy slipped into stagnation.,Ekonomi durgunluğa girdi.,standstill,growth,economic stagnation,
boom,noun,B2,economics,word,,,patlama; hızlı büyüme dönemi,a period of rapid economic growth,The tech boom created many jobs.,Teknoloji patlaması çok iş yarattı.,upturn|expansion,bust|recession,economic boom,
bust,noun,C1,economics,word,,,çöküş; ani ekonomik daralma,a sudden economic collapse,The boom was followed by a bust.,Patlamayı bir çöküş izledi.,crash|slump,boom,boom and bust,
volatility,noun,C1,economics,word,,,oynaklık; ani ve büyük fiyat dalgalanması,rapid and unpredictable change in prices,Market volatility scared investors.,Piyasa oynaklığı yatırımcıları korkuttu.,instability,stability,price volatility,
stability,noun,B2,economics,word,stable,,istikrar; sabit ve güvenli durum,a steady and secure condition,Price stability supports investment.,Fiyat istikrarı yatırımı destekler.,steadiness,volatility,financial stability,
currency,noun,B1,economics,word,,,para birimi; bir ülkenin parası,the system of money used in a country,The currency lost value abroad.,Para birimi yurt dışında değer kaybetti.,money|legal tender,,foreign currency,
exchange rate,noun,B2,economics,phrase,,,döviz kuru; paralar arası değişim oranı,the value of one currency against another,The exchange rate moved sharply.,Döviz kuru sert biçimde değişti.,,,fixed exchange rate,
devaluation,noun,C2,economics,word,value,,devalüasyon; paranın resmi değer kaybı,an official drop in a currency's value,Devaluation made exports cheaper.,Devalüasyon ihracatı ucuzlattı.,depreciation,appreciation,sharp devaluation,appreciation
appreciation,noun,C1,economics,word,,,değer kazanma; paranın değerinin artması,a rise in the value of an asset or currency,Currency appreciation hurt exporters.,Paranın değer kazanması ihracatçılara zarar verdi.,gain|rise,depreciation,asset appreciation,devaluation
depreciation,noun,C1,economics,word,,,değer kaybı; zamanla değerin azalması,a fall in the value of an asset,Cars suffer rapid depreciation.,Arabalar hızlı değer kaybına uğrar.,decline,appreciation,asset depreciation,appreciation
asset bubble,noun,C2,economics,phrase,,,varlık balonu; aşırı şişmiş fiyatlar,prices inflated far above real value,The housing bubble eventually burst.,Konut balonu sonunda patladı.,price bubble,,burst the bubble,
collapse,noun,B2,economics,word,,,çöküş; ani ve büyük başarısızlık,a sudden and complete failure,The bank's collapse shocked markets.,Bankanın çöküşü piyasaları şok etti.,breakdown|crash,recovery,market collapse,
recovery,noun,B1,economics,word,recover,,toparlanma; kötü durumdan düzelme,a return to a healthy state,A slow recovery followed the crisis.,Krizden sonra yavaş bir toparlanma geldi.,rebound|upturn,collapse|recession,economic recovery,
stimulus,noun,C1,economics,word,,,teşvik paketi; ekonomiyi canlandıran destek,action taken to encourage growth,The government launched a stimulus package.,Hükümet bir teşvik paketi başlattı.,boost|incentive,,fiscal stimulus,
austerity,noun,C2,economics,word,,,kemer sıkma; sıkı harcama kısıtlaması,strict reduction of public spending,Austerity measures sparked protests.,Kemer sıkma önlemleri protestolara yol açtı.,cutbacks,stimulus,austerity policy,
welfare,noun,B2,economics,word,,,refah; devletin sağladığı sosyal destek,government support for those in need,Welfare spending rose last year.,Refah harcamaları geçen yıl arttı.,benefits|aid,,welfare state,
poverty,noun,B1,economics,word,,,yoksulluk; temel ihtiyaçları karşılayamama,the state of being extremely poor,They work to reduce child poverty.,Çocuk yoksulluğunu azaltmaya çalışıyorlar.,need|hardship,wealth,extreme poverty,
wealth,noun,B1,economics,word,,,servet; büyük miktarda varlık ve para,a large amount of money and assets,The reform spread wealth more evenly.,Reform serveti daha eşit dağıttı.,riches|affluence,poverty,wealth gap,
inequality,noun,B2,economics,word,equal,,eşitsizlik; gelir veya fırsatların dengesizliği,unequal distribution of income or chances,Income inequality widened.,Gelir eşitsizliği derinleşti.,disparity|gap,equality,income inequality,
GDP per capita,noun,C1,economics,phrase,,,kişi başına GSYİH; nüfusa bölünmüş üretim,national output divided by population,GDP per capita doubled in a decade.,Kişi başına GSYİH on yılda ikiye katlandı.,,,rising GDP per capita,
fiscal year,noun,B2,economics|business,phrase,,,mali yıl; muhasebe amaçlı bir yıllık dönem,a one-year period used for accounting,Their fiscal year starts in July.,Mali yılları temmuzda başlar.,,,end of fiscal year,
balance sheet,noun,B2,economics|business,phrase,,,bilanço; varlık ve borçların özeti,a statement of assets and liabilities,The balance sheet looks healthy.,Bilanço sağlıklı görünüyor.,,,strong balance sheet,
gross,adj,B2,economics|business,word,,,brüt; kesintilerden önceki toplam,total before deductions,Gross income is higher than net.,Brüt gelir nettan yüksektir.,total,net,gross profit,net
net,adj,B2,economics|business,word,,,net; kesintilerden sonra kalan,remaining after deductions,Net profit fell despite high sales.,Yüksek satışa rağmen net kâr düştü.,,gross,net income,gross
overspend,verb,B2,economics,word,spend,,fazla harcamak; bütçeyi aşmak,to spend more than planned,Households tend to overspend in December.,Hane halkı aralıkta fazla harcama eğilimindedir.,,save,overspend the budget,
save,verb,A1,economics,word,,,tasarruf etmek; para biriktirmek,to keep money for later use,They save part of every paycheck.,Her maaşın bir kısmını biriktiriyorlar.,set aside,spend,save money,
invest,verb,B1,economics|business,word,,,yatırım yapmak; kazanç için para koymak,to put money into something for profit,She invests in index funds.,Endeks fonlarına yatırım yapıyor.,fund|back,divest,invest in stocks,
