headword,pos,level,domains,type,root,pronunciation,tr,en,exampleEn,exampleTr,synonyms,antonyms,collocations,related
spill the beans,idiom,B2,communication|general,idiom,bean,,sırrı ağzından kaçırmak; gizliyi açık etmek,to reveal a secret,Come on — spill the beans about the new job.,Hadi ama — şu yeni iş hakkındaki sırrı söyle.,let it slip|reveal,keep quiet,,
piece of cake,idiom,B1,communication|general,idiom,cake,,çocuk oyuncağı; çok kolay iş,something very easy to do,The exam was a piece of cake.,Sınav çocuk oyuncağıydı.,a breeze|child's play,,,
break a leg,idiom,B2,communication|general,idiom,leg,,bol şans (sahne öncesi);şans dileme,a way to wish someone good luck,Break a leg in your presentation today.,Bugünkü sunumunda bol şans.,good luck,,,
under the weather,idiom,B1,communication|general,idiom,weather,,keyifsiz; biraz hasta,feeling slightly ill,I'm a bit under the weather today.,Bugün biraz keyifsizim.,unwell|poorly,healthy,,
hit the sack,idiom,B2,communication|general,idiom,sack,,kafayı vurup yatmak; uyumaya gitmek,to go to bed,I'm exhausted so I'll hit the sack.,Çok yorgunum o yüzden yatmaya gidiyorum.,turn in,,,
cost an arm and a leg,idiom,B2,communication|general,idiom,arm,,çok pahalıya patlamak,to be very expensive,That phone costs an arm and a leg.,O telefon çok pahalıya patlıyor.,cost a fortune,dirt cheap,,
once in a blue moon,idiom,B2,communication|general,idiom,moon,,kırk yılda bir; çok nadiren,very rarely,We meet once in a blue moon now.,Artık kırk yılda bir görüşüyoruz.,rarely|seldom,often,,
bite the bullet,idiom,C1,communication|general,idiom,bullet,,dişini sıkmak; zoru göze almak,to face a hard situation bravely,Just bite the bullet and apologize.,Dişini sık ve özür dile.,grin and bear it,,,
hit the nail on the head,idiom,C1,communication|general,idiom,nail,,tam isabet; tam üstüne basmak,to describe something exactly right,You hit the nail on the head with that point.,O noktada tam üstüne bastın.,be spot on,,,
let the cat out of the bag,idiom,B2,communication|general,idiom,cat,,baklayı ağzından çıkarmak; sırrı açık etmek,to reveal a secret by accident,He let the cat out of the bag about the party.,Parti konusunda baklayı ağzından çıkardı.,spill the beans,,,
pull someone's leg,idiom,B2,communication|general,idiom,leg,,birine takılmak; şaka yapmak,to joke with someone,Relax I'm just pulling your leg.,Sakin ol sadece takılıyorum.,tease|kid,,,
get cold feet,idiom,B2,communication|general,idiom,foot,,son anda korkup vazgeçmek,to suddenly become too scared to do something,He got cold feet before the wedding.,Düğünden önce son anda korktu.,chicken out,,,
a blessing in disguise,idiom,C1,communication|general,idiom,bless,,kılık değiştirmiş nimet; sonradan iyi çıkan kötü olay,a misfortune that turns out well,Losing that job was a blessing in disguise.,O işi kaybetmek aslında hayırlı oldu.,,curse,,
speak of the devil,idiom,B2,communication|general,idiom,devil,,iti an çomağı hazırla; lafı edilen kişi gelince denir,said when a person you were talking about appears,Speak of the devil — here she comes.,İti andık çomağı hazırla — işte geliyor.,,,,
the last straw,idiom,C1,communication|general,idiom,straw,,bardağı taşıran son damla,the final problem that makes you give up,His rudeness was the last straw.,Kabalığı bardağı taşıran son damla oldu.,final straw,,,
the ball is in your court,idiom,C1,communication|business,idiom,ball,,top sende; karar/sıra artık sende,it is your turn to act or decide,I made my offer so the ball is in your court.,Teklifimi yaptım artık top sende.,,,,
butterflies in your stomach,idiom,B2,communication|general,idiom,butterfly,,içi içine sığmamak; heyecandan kelebekler,a nervous excited feeling,I had butterflies in my stomach before the talk.,Konuşmadan önce heyecandan içim içime sığmıyordu.,nervous|jittery,calm,,
when pigs fly,idiom,B2,communication|general,idiom,pig,,balık kavağa çıkınca; asla olmayacak,something that will never happen,He'll apologize when pigs fly.,O özür dilerse balık kavağa çıkar.,never,,,
spill the tea,slang,B2,communication|general,slang,tea,,dedikoduyu anlatmak; olayı dök,to share the latest gossip,Okay spill the tea — what happened?,Tamam anlat bakalım — ne oldu?,dish|gossip,,spill the tea,
throw shade,slang,B2,communication|general,slang,shade,,laf sokmak; üstü kapalı aşağılamak,to publicly criticize or insult subtly,She threw shade at her rival online.,Rakibine internette laf soktu.,diss,compliment,,shade
vibe,noun,B1,communication|general,slang,,,hava; ortamın enerjisi/atmosferi,the mood or feeling of a place or person,This cafe has a really chill vibe.,Bu kafenin gerçekten sakin bir havası var.,mood|atmosphere,,good vibes|vibe check,
vibe,verb,B2,communication|general,slang,,,takılmak; uyum yakalamak,to relax or get along well,We just vibed all evening.,Bütün akşam keyifle takıldık.,click|gel,,,
FOMO,noun,B2,communication|general,slang,,,bir şeyi kaçırma korkusu (fear of missing out),anxiety that an exciting event is happening elsewhere,I checked my phone all night out of FOMO.,Bir şey kaçırma korkusuyla bütün gece telefona baktım.,,,,
flex,verb,B2,communication|general,slang,,,hava atmak; gösteriş yapmak,to show off something proudly,He keeps flexing his new watch.,Yeni saatiyle sürekli hava atıyor.,show off|boast,,flex on,
low-key,adv,B2,communication|general,slang,key,,hafiften; çaktırmadan,quietly or to a small degree,I'm low-key excited about it.,Açıkçası hafiften heyecanlıyım.,subtly,openly,,
salty,adj,B2,communication|general,slang,salt,,alınmış; bozulmuş ve huysuz,bitter or annoyed about something,He got salty after losing the game.,Oyunu kaybedince bozuldu.,bitter|sour,chill,,
cringe,adj,B2,communication|general,slang,,,utanç verici; içini kaldıran,causing embarrassment,That joke was so cringe.,O şaka çok utanç vericiydi.,embarrassing,cool,,
cringe,verb,B2,communication|general,slang,,,utançtan büzülmek,to feel embarrassed,I cringed at my old photos.,Eski fotoğraflarıma utançtan büzüldüm.,wince,,,
salvage,verb,C1,communication|business,word,,,kurtarmak; kötü durumdan bir şey çıkarmak,to save something from loss,They salvaged the deal at the last minute.,Anlaşmayı son anda kurtardılar.,rescue|recover,lose,,
binge-watch,verb,B2,communication|general,slang,binge,,arka arkaya izlemek; dizi maratonu yapmak,to watch many episodes in one sitting,We binge-watched the whole season.,Bütün sezonu arka arkaya izledik.,marathon,,,
spoiler,noun,B1,communication|general,word,spoil,,sürpriz bozan; olay örgüsünü ifşa eden bilgi,information that reveals the plot,No spoilers please I haven't seen it.,Lütfen sürpriz bozma henüz izlemedim.,,,spoiler alert,
plot twist,noun,B2,communication|general,phrase,plot,,olay örgüsünde beklenmedik dönüş,an unexpected turn in a story,The plot twist shocked everyone.,Olaydaki beklenmedik dönüş herkesi şaşırttı.,twist,,,
cliffhanger,noun,C1,communication|general,word,cliff,,merak uyandıran final; askıda bırakan son,a tense unresolved ending,The episode ended on a cliffhanger.,Bölüm merak uyandıran bir finalle bitti.,,,,
