headword,pos,level,domains,type,root,pronunciation,tr,en,exampleEn,exampleTr,synonyms,antonyms,collocations,related
strategy,noun,B1,business|communication,word,,,strateji; hedefe ulaşmak için genel plan,a plan to achieve a long-term goal,Their growth strategy paid off.,Büyüme stratejileri işe yaradı.,plan|approach,,marketing strategy,
tactic,noun,B2,business|communication,word,,,taktik; bir amaca yönelik kısa vadeli yöntem,a specific method to reach a goal,Discounting is a risky tactic.,İndirim riskli bir taktiktir.,method|maneuver,,sales tactic,
objective,noun,B1,business|communication,word,,,hedef; ulaşılmak istenen sonuç,a specific aim to achieve,Set a clear objective for the quarter.,Çeyrek için net bir hedef belirle.,goal|target,,key objective,
initiative,noun,B2,business|communication,word,,,girişim; kendiliğinden başlatılan çaba,a new effort started independently,She showed great initiative.,Büyük bir girişkenlik gösterdi.,enterprise|drive,,take the initiative,
priority,noun,B1,business|communication,word,prior,,öncelik; ilk yapılması gereken iş,something treated as most important,Safety is our top priority.,Güvenlik en büyük önceliğimiz.,precedence,,top priority,
prioritize,verb,B2,business|communication,word,prior,,önceliklendirmek; önem sırasına koymak,to rank tasks by importance,Learn to prioritize your tasks.,Görevlerini önceliklendirmeyi öğren.,rank|order,,prioritize work,
implement,verb,B2,business,word,,,uygulamak; hayata geçirmek,to put a plan into action,They implemented the new policy.,Yeni politikayı hayata geçirdiler.,carry out|execute,,implement a plan,
execute,verb,B2,business,word,,,yürütmek; planı uygulamaya geçirmek,to carry out a plan precisely,The team executed flawlessly.,Ekip kusursuz biçimde uyguladı.,perform|carry out,,execute a strategy,
deploy,verb,C1,business,word,,,devreye almak; kaynak veya sistemi konumlandırmak,to put resources or systems into use,They deployed the update overnight.,Güncellemeyi bir gecede devreye aldılar.,roll out|position,,deploy resources,
allocate,verb,B2,business|economics,word,,,tahsis etmek; pay ayırmak,to assign resources for a purpose,Funds were allocated to research.,Fonlar araştırmaya tahsis edildi.,assign|distribute,,allocate budget,
